competition,model_id,model_family,seed,params_json,cv_auc_mean,cv_auc_std,cv_auc_min,cv_auc_max,public_auc,private_auc,cv_private_gap,abs_cv_private_gap,public_private_gap,abs_public_private_gap,runtime_seconds
santander,520,xgboost,436291,"{""n_estimators"": 700, ""learning_rate"": 0.07, ""max_depth"": 6, ""min_child_weight"": 5.0, ""gamma"": 0.05, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.1, ""reg_lambda"": 0.1}",0.8872174278639566,0.0024711145672359,0.8824007256657235,0.8891923890687408,,,,,,,131.783851146698
santander,521,xgboost,101837,"{""n_estimators"": 300, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 8.0, ""gamma"": 0.01, ""subsample"": 0.9, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5}",0.863955257735159,0.0035370637100793,0.8575185564672468,0.8679562184125004,,,,,,,62.968652963638306
santander,522,xgboost,302661,"{""n_estimators"": 1100, ""learning_rate"": 0.07, ""max_depth"": 7, ""min_child_weight"": 5.0, ""gamma"": 0.05, ""subsample"": 0.7, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5}",0.8863000326947107,0.0027810612827807,0.8807459644523353,0.8878599663742522,,,,,,,233.58528304100037
santander,523,xgboost,135210,"{""n_estimators"": 700, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 3.0, ""gamma"": 0.3, ""subsample"": 0.8, ""colsample_bytree"": 0.9, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0}",0.8563453335453802,0.0036235546317277,0.8497244357700104,0.8604358515251052,,,,,,,85.97274398803711
santander,524,xgboost,351001,"{""n_estimators"": 1100, ""learning_rate"": 0.07, ""max_depth"": 7, ""min_child_weight"": 3.0, ""gamma"": 0.01, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0}",0.8857819159098353,0.0034759963171073,0.8792397310280171,0.8890821255036657,,,,,,,258.3843262195587
santander,525,xgboost,149239,"{""n_estimators"": 700, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 3.0, ""gamma"": 0.01, ""subsample"": 0.6, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.5, ""reg_lambda"": 0.5}",0.8899540632230805,0.0029055861006507,0.8845009665402835,0.8923616511019865,,,,,,,115.26846218109132
santander,526,xgboost,993392,"{""n_estimators"": 300, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 8.0, ""gamma"": 0.3, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0}",0.8584191339795643,0.0041326383992741,0.851344185824629,0.8637972230498833,,,,,,,57.22248601913452
santander,527,xgboost,184888,"{""n_estimators"": 700, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_weight"": 5.0, ""gamma"": 0.01, ""subsample"": 0.7, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.01, ""reg_lambda"": 0.1}",0.8756643765334375,0.003583887917738,0.8688729262249066,0.8793302510111517,,,,,,,115.35163497924805
santander,528,xgboost,713174,"{""n_estimators"": 900, ""learning_rate"": 0.07, ""max_depth"": 6, ""min_child_weight"": 10.0, ""gamma"": 0.05, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.01, ""reg_lambda"": 0.5}",0.8887814656281259,0.0033660432054198,0.8825253284715942,0.8919185098686667,,,,,,,168.07542610168457
santander,529,xgboost,828494,"{""n_estimators"": 1100, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 10.0, ""gamma"": 0.1, ""subsample"": 0.6, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0}",0.8882792003805584,0.0031708515282958,0.8821389335977146,0.8906934684553884,,,,,,,199.95300912857056
santander,530,xgboost,67041,"{""n_estimators"": 1100, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 2.0, ""gamma"": 0.3, ""subsample"": 0.7, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0}",0.8689234587086805,0.0035063376640998,0.8622373575424712,0.8722894680550038,,,,,,,174.27777409553528
santander,531,xgboost,911052,"{""n_estimators"": 1100, ""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_weight"": 3.0, ""gamma"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.5, ""reg_lambda"": 0.5}",0.8801896451130634,0.0033185888618069,0.8739434221333575,0.8833783013357959,,,,,,,148.12856888771057
