competition,model_id,model_family,seed,params_json,started_at,cv_auc_mean,cv_auc_std,cv_auc_min,cv_auc_max,submission_path,submitted_to_kaggle,kaggle_status,public_auc,private_auc,runtime_seconds,error,finished_at,cv_private_gap,abs_cv_private_gap,public_private_gap,abs_public_private_gap
santander,560,xgboost,336936,"{""n_estimators"": 1100, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 5.0, ""gamma"": 0.0, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.5, ""reg_lambda"": 0.1}",2026-05-10T14:54:07.190676,0.8682932669708748,0.0038464616710503,0.8610066918050105,0.8721995212161648,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0560.csv,False,,,,157.82638216018677,,2026-05-10T14:56:45.017057,,,,
santander,561,xgboost,277509,"{""n_estimators"": 500, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 5.0, ""gamma"": 0.1, ""subsample"": 0.9, ""colsample_bytree"": 0.6, ""reg_alpha"": 1.0, ""reg_lambda"": 0.1}",2026-05-10T14:56:45.033210,0.8799998152734847,0.0031990368164668,0.8738207862853603,0.882817269425165,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0561.csv,False,,,,75.55510091781616,,2026-05-10T14:58:00.588302,,,,
santander,562,xgboost,21878,"{""n_estimators"": 300, ""learning_rate"": 0.02, ""max_depth"": 7, ""min_child_weight"": 2.0, ""gamma"": 0.1, ""subsample"": 0.8, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.1, ""reg_lambda"": 0.1}",2026-05-10T14:58:00.602241,0.8584358091802118,0.003726624391975,0.8516601815823606,0.8630308285442653,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0562.csv,False,,,,70.79084706306458,,2026-05-10T14:59:11.393078,,,,
santander,563,xgboost,476174,"{""n_estimators"": 700, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 8.0, ""gamma"": 0.05, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0}",2026-05-10T14:59:11.406121,0.8784560083224908,0.0039309488619899,0.8711263582034242,0.8821980697714039,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0563.csv,False,,,,89.44865989685059,,2026-05-10T15:00:40.854775,,,,
santander,564,xgboost,753050,"{""n_estimators"": 500, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 5.0, ""gamma"": 0.0, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0}",2026-05-10T15:00:40.865676,0.8834932708953763,0.0034395677071391,0.8770493108388021,0.8865595336910244,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0564.csv,False,,,,103.53504991531372,,2026-05-10T15:02:24.400719,,,,
santander,565,xgboost,928824,"{""n_estimators"": 900, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 2.0, ""gamma"": 0.01, ""subsample"": 1.0, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0}",2026-05-10T15:02:24.416244,0.8574231973115726,0.0035898517101781,0.8508543822023844,0.8618101634312694,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0565.csv,False,,,,149.82929801940918,,2026-05-10T15:04:54.245532,,,,
santander,566,xgboost,129367,"{""n_estimators"": 500, ""learning_rate"": 0.07, ""max_depth"": 5, ""min_child_weight"": 5.0, ""gamma"": 0.05, ""subsample"": 0.7, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.5, ""reg_lambda"": 2.0}",2026-05-10T15:04:54.260594,0.8876599260469709,0.0030712782602223,0.8818316387766559,0.8901459247674911,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0566.csv,False,,,,95.9933431148529,,2026-05-10T15:06:30.253930,,,,
santander,567,xgboost,353193,"{""n_estimators"": 900, ""learning_rate"": 0.07, ""max_depth"": 6, ""min_child_weight"": 3.0, ""gamma"": 0.01, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.5, ""reg_lambda"": 0.1}",2026-05-10T15:06:30.268057,0.8888857263365372,0.0030236061365512,0.8830094628303728,0.8911877850381057,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0567.csv,False,,,,160.03113293647766,,2026-05-10T15:09:10.299181,,,,
santander,568,xgboost,190167,"{""n_estimators"": 900, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_weight"": 5.0, ""gamma"": 0.05, ""subsample"": 0.9, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.5, ""reg_lambda"": 0.5}",2026-05-10T15:09:10.314724,0.8793280401468315,0.0034058731108863,0.8729734837485723,0.8829382173925129,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0568.csv,False,,,,133.95062708854675,,2026-05-10T15:11:24.265343,,,,
santander,569,xgboost,370596,"{""n_estimators"": 700, ""learning_rate"": 0.07, ""max_depth"": 4, ""min_child_weight"": 5.0, ""gamma"": 0.0, ""subsample"": 0.6, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.5, ""reg_lambda"": 0.5}",2026-05-10T15:11:24.280592,0.8908840821976914,0.0022749255221775,0.8865305974297496,0.8926945248742391,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0569.csv,False,,,,99.79766607284546,,2026-05-10T15:13:04.078249,,,,
