competition,model_id,model_family,seed,params_json,started_at,cv_auc_mean,cv_auc_std,cv_auc_min,cv_auc_max,submission_path,submitted_to_kaggle,kaggle_status,public_auc,private_auc,runtime_seconds,error,finished_at
porto,542,xgboost,801120,"{""n_estimators"": 1100, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 2.0, ""gamma"": 0.01, ""subsample"": 1.0, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0}",2026-05-13T00:12:02.877901,0.6400991976526771,0.0032957934092328364,0.6336868994752879,0.6429038803597638,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0542.csv,False,,,,77.90515184402466,,2026-05-13T00:13:20.783044
porto,543,xgboost,961518,"{""n_estimators"": 500, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_weight"": 5.0, ""gamma"": 0.3, ""subsample"": 0.8, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0}",2026-05-13T00:13:20.798878,0.6408444899756014,0.0034220846433775766,0.6342765381565,0.644072562765519,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0543.csv,False,,,,46.515358209609985,,2026-05-13T00:14:07.314226
porto,544,xgboost,516890,"{""n_estimators"": 700, ""learning_rate"": 0.07, ""max_depth"": 7, ""min_child_weight"": 2.0, ""gamma"": 0.01, ""subsample"": 0.9, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.1, ""reg_lambda"": 0.1}",2026-05-13T00:14:07.322359,0.6149676610289813,0.002294562909881976,0.6121843538418001,0.617981713937417,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0544.csv,False,,,,69.78519606590271,,2026-05-13T00:15:17.107545
porto,545,xgboost,254369,"{""n_estimators"": 900, ""learning_rate"": 0.07, ""max_depth"": 6, ""min_child_weight"": 2.0, ""gamma"": 0.0, ""subsample"": 0.6, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0}",2026-05-13T00:15:17.117195,0.6195439580342126,0.0033647107741290577,0.6148916076869422,0.624641803767283,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0545.csv,False,,,,83.33364415168762,,2026-05-13T00:16:40.450830
porto,546,xgboost,898827,"{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 2.0, ""gamma"": 0.05, ""subsample"": 0.6, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5}",2026-05-13T00:16:40.460007,0.6397359100579155,0.0030494928174782015,0.633961203293373,0.6425172282674267,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0546.csv,False,,,,27.42149782180786,,2026-05-13T00:17:07.881494
porto,547,xgboost,593392,"{""n_estimators"": 700, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 1.0, ""gamma"": 0.05, ""subsample"": 0.7, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0}",2026-05-13T00:17:07.891091,0.6399791895709706,0.002636469561871297,0.6353343016601025,0.6420207541378045,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0547.csv,False,,,,45.53139400482178,,2026-05-13T00:17:53.422475
porto,548,xgboost,989833,"{""n_estimators"": 300, ""learning_rate"": 0.02, ""max_depth"": 7, ""min_child_weight"": 5.0, ""gamma"": 0.0, ""subsample"": 0.7, ""colsample_bytree"": 0.9, ""reg_alpha"": 1.0, ""reg_lambda"": 0.5}",2026-05-13T00:17:53.430994,0.640610583792208,0.003116648416226148,0.6349175645999405,0.6440363130644537,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0548.csv,False,,,,38.57582902908325,,2026-05-13T00:18:32.006814
porto,549,xgboost,473833,"{""n_estimators"": 900, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 8.0, ""gamma"": 0.0, ""subsample"": 0.9, ""colsample_bytree"": 0.7, ""reg_alpha"": 1.0, ""reg_lambda"": 0.1}",2026-05-13T00:18:32.016751,0.6400610590543632,0.003353854353148082,0.6336288168674553,0.6434439409298266,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0549.csv,False,,,,64.98400282859802,,2026-05-13T00:19:37.000745
porto,550,xgboost,945954,"{""n_estimators"": 500, ""learning_rate"": 0.01, ""max_depth"": 6, ""min_child_weight"": 5.0, ""gamma"": 0.3, ""subsample"": 0.6, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0}",2026-05-13T00:19:37.009894,0.6398432627805374,0.003371048026068365,0.6334502350757802,0.6430324144479327,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0550.csv,False,,,,52.64414954185486,,2026-05-13T00:20:29.654034
porto,551,xgboost,405763,"{""n_estimators"": 900, ""learning_rate"": 0.07, ""max_depth"": 7, ""min_child_weight"": 5.0, ""gamma"": 0.1, ""subsample"": 0.8, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0}",2026-05-13T00:20:29.663888,0.6083057959155639,0.004126073995415813,0.6019622192623137,0.6146005923689198,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0551.csv,False,,,,88.22623014450073,,2026-05-13T00:21:57.890108
